final_species_name,Cro,A,SpC,InC,InB,SpF,DCS,PVS,DS,LS,VnS,NPRC,SbO,GF,EGFS,DHS,M,TL4,FL4,DC,nPVS,nMS,nVrS,nVnS,nInL,nPM,ncPM,nGS,nCRo,nbNSpL,nLS,ncIp,nbCoA,nSpL,nPR,nSbO,nSpC,nbSbOSpL,TL,SVL,sex,n4TL,n4FL,nS4FL,nDlT,nArT,nAlT
bad_sample,1,1,1,0,1,1,0,2,2,0,1,0,0,1,1,1,0,0,0,1,NA,NA,NA,NA,8,3,7,27,4,1,4,7,4,5,8,12,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
bad_sample,0,1,1,1,1,1,1,3,1,1,1,0,1,1,1,1,1,0,0,1,85,71,53,44,10,4,9,54,5,1,7,10,4,11,6,20,11,1,182,94,NA,34,24,0,12,39,NA
bad_sample,1,1,1,0,1,1,1,3,1,1,0,0,NA,1,0,0,0,0,0,1,75,59,59,44,10,2,7,37,4,1,5,NA,3,10,6,NA,NA,NA,197,90,NA,33,22,3,14,41,NA
E_bibronii,1,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,81,55,57,48,10,2,6,40,4,1,5,10,3,11,7,14,10,1,134,67,NA,33,19,4,12,38,NA
E_bibronii,1,1,0,0,0,0,1,3,1,0,0,0,1,1,0,1,1,0,0,1,77,60,56,46,8,2,6,36,4,2,7,8,2,11,8,12,10,1,NA,118,NA,28,17,2,11,38,NA
E_bibronii,1,1,1,0,0,1,1,2,0,0,0,0,1,1,0,1,1,0,0,1,78,57,58,50,10,2,6,37,4,1,6,8,2,11,7,15,12,1,205,105,NA,34,22,2,13,43,117
E_bibronii,1,1,1,0,1,1,0,2,2,0,0,0,1,1,0,0,0,0,0,1,81,54,58,46,10,2,7,37,5,1,5,10,2,10,8,13,9,1,149,67,NA,32,21,4,12,34,NA
E_bibronii,1,1,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,1,91,59,56,50,12,2,7,40,4,1,7,9,2,11,6,14,11,1,169,80,NA,30,19,3,11,39,148
E_bibronii,1,1,1,0,0,1,1,3,1,0,0,0,1,1,0,1,1,0,0,1,87,59,61,55,9,2,8,40,5,1,6,9,1,11,5,17,11,2,213,97,NA,30,21,3,12,37,152
E_bibronii,0,1,1,0,0,1,1,2,2,0,0,0,1,1,0,1,1,0,0,1,86,59,64,48,9,2,7,38,4,3,6,10,2,9,7,11,11,1,224,120,NA,31,20,4,13,43,145
E_bibronii,1,1,1,0,0,0,0,3,1,0,0,0,1,1,1,0,1,0,0,1,77,60,55,46,10,2,7,38,4,1,6,7,2,11,6,11,10,1,155,69,NA,31,20,3,13,43,NA
E_bibronii,1,1,1,0,0,1,1,2,1,1,0,0,1,1,0,0,1,0,0,1,96,58,60,51,10,2,7,39,4,1,5,8,2,12,7,14,11,1,213,102,NA,30,20,3,12,44,158
E_bibronii,1,1,1,0,1,0,1,3,2,0,0,0,1,1,0,0,0,0,0,1,82,57,58,43,10,2,7,32,5,1,5,9,3,10,6,13,10,1,71,55,NA,27,18,2,10,34,NA
E_bibronii,1,1,0,0,0,1,1,3,1,1,0,0,1,1,0,1,1,0,0,1,92,60,60,48,10,2,7,39,4,1,5,9,1,10,5,11,8,1,162,115,NA,33,22,3,12,43,NA
E_bibronii,1,1,1,0,0,1,1,2,0,1,0,0,1,1,0,1,1,0,0,1,87,61,65,65,11,2,7,43,5,1,5,9,2,11,7,14,11,1,165,105,M,34,21,2,13,47,NA
E_bibronii,1,1,1,0,0,1,1,3,1,1,0,0,0,1,0,0,0,0,0,1,81,62,58,47,9,2,6,36,4,1,5,7,2,11,8,14,10,1,91,45,NA,32,22,4,12,30,149
E_bibronii,0,1,1,0,1,1,1,3,1,1,0,0,0,1,0,0,0,0,0,1,82,56,59,50,10,2,7,40,4,1,6,9,3,11,6,15,10,2,139,67,NA,30,19,4,13,39,154
E_bibronii,1,1,1,0,1,1,1,3,1,0,0,0,0,1,0,0,1,0,0,1,77,51,55,50,10,2,8,32,4,1,5,10,2,10,4,14,10,1,171,74,NA,30,18,2,11,40,146
E_bibronii,0,1,1,0,0,0,1,3,1,1,0,0,0,1,1,0,1,0,0,1,79,61,60,48,9,2,7,40,4,1,7,7,2,10,5,14,10,1,217,105,NA,31,20,2,13,40,152
E_bibronii,1,1,1,0,0,0,0,3,1,0,1,0,1,1,0,0,1,0,0,1,73,58,60,48,9,2,7,42,4,2,7,8,2,11,6,14,10,1,231,113,NA,30,19,3,12,34,141
E_bibronii,1,1,0,0,0,0,1,3,1,0,0,0,1,1,0,1,1,0,0,1,79,57,56,49,11,2,7,46,5,2,6,7,1,10,5,12,10,1,107,100,NA,36,21,3,12,44,139
E_bibronii,1,1,0,0,0,0,1,3,1,0,0,0,1,1,0,1,1,0,0,1,81,54,55,43,9,2,8,40,4,2,7,8,2,10,7,15,11,1,179,86,NA,32,21,3,13,38,NA
E_bibronii,1,1,0,0,0,0,0,2,2,0,0,1,0,1,0,1,0,0,0,1,98,75,70,49,10,2,5,49,5,2,7,9,4,10,6,15,10,1,155,80,NA,34,18,3,15,51,150
E_bibronii,1,1,0,0,0,0,0,2,2,0,0,1,0,1,0,1,1,0,0,1,NA,NA,NA,NA,7,2,7,35,4,2,4,8,3,9,7,10,9,1,138,89,NA,33,19,4,13,51,NA
E_bibronii,1,1,0,0,0,0,0,2,2,0,0,0,1,1,0,1,1,0,0,1,88,68,59,47,8,2,7,45,4,1,5,11,4,9,8,13,8,1,199,92,NA,32,22,3,14,60,164
E_bibronii,1,1,1,0,1,1,1,3,1,1,0,0,1,1,0,0,1,0,0,1,76,50,58,43,11,2,6,34,4,1,4,7,1,11,7,12,10,1,192,85,NA,28,18,3,12,37,NA
E_bilineatus,0,1,1,0,1,1,0,2,2,0,1,1,0,1,1,0,1,0,0,1,68,50,64,46,8,2,7,38,4,1,6,6,3,9,7,11,6,1,240,67,M,36,23,2,12,28,181
E_bilineatus,1,1,1,0,1,1,0,2,2,1,1,1,0,NA,NA,0,1,0,0,1,71,52,70,48,7,2,4,37,4,0,5,9,2,8,6,10,6,0,196,75,F,33,19,4,13,23,NA
E_bilineatus,1,1,1,0,1,1,0,2,2,1,1,1,0,NA,NA,0,1,0,0,1,59,46,67,47,7,2,6,40,4,2,6,7,1,8,8,10,8,1,248,82,M,33,21,3,12,22,185
E_bilineatus,1,1,1,0,1,1,0,2,2,2,1,1,0,NA,NA,0,0,0,0,1,68,46,67,48,6,2,5,41,5,1,5,9,1,7,7,10,6,1,204,84,M,34,21,5,13,28,190
E_bilineatus,1,1,1,0,1,1,0,2,2,1,1,1,0,0,NA,0,1,0,0,1,67,48,66,49,7,2,7,42,4,1,5,8,3,9,7,9,9,0,198,71,M,34,19,3,12,27,NA
E_bilineatus,1,1,1,0,1,1,0,2,2,1,1,1,0,0,NA,0,1,0,0,1,68,46,68,44,7,2,4,36,4,1,5,10,2,8,7,11,6,1,230,80,M,35,22,3,13,28,NA
E_bilineatus,1,1,1,0,1,1,0,2,2,1,1,1,0,NA,NA,0,1,0,0,1,65,43,70,44,7,2,7,41,4,1,6,7,3,9,7,9,7,0,222,75,M,33,22,3,13,22,NA
E_bilineatus,0,1,1,0,1,1,0,2,2,1,1,1,0,0,NA,0,1,0,0,1,67,50,69,48,8,2,6,38,4,1,6,9,2,7,8,14,7,1,245,77,M,33,24,2,13,28,183
E_bilineatus,0,1,1,0,1,1,0,2,2,1,1,1,1,1,1,0,1,0,0,1,60,43,65,41,6,2,4,36,4,1,5,7,3,8,8,10,8,0,223,75,M,32,20,3,12,NA,172
E_bilineatus,0,1,1,0,1,1,0,2,2,1,1,1,0,1,1,0,0,0,0,1,63,42,66,46,7,2,4,36,4,1,5,10,3,8,8,12,9,0,210,73,M,30,19,5,14,24,164
E_bilineatus,1,1,1,0,1,1,0,2,2,1,1,1,0,1,0,1,0,0,0,1,66,51,65,43,8,2,6,36,3,1,5,9,3,8,7,10,5,1,213,72,NA,35,21,4,12,26,162
E_bilineatus,1,1,1,0,1,1,0,2,2,2,1,1,0,1,1,0,0,0,0,1,55,39,61,37,7,2,6,30,4,1,5,10,3,7,6,11,5,1,185,75,NA,28,19,3,12,28,152
E_bilineatus,0,1,1,0,1,1,0,2,2,1,1,1,0,1,1,1,1,0,0,1,63,46,52,37,7,2,7,30,3,2,6,9,3,6,8,14,8,1,194,76,NA,33,23,2,12,NA,NA
E_bilineatus,0,1,1,0,1,1,0,2,2,0,1,1,0,1,0,1,0,0,0,1,53,43,69,46,7,2,6,38,4,1,6,12,4,8,6,14,7,1,227,81,NA,33,19,2,13,NA,NA
E_bilineatus,1,1,1,0,1,1,0,2,2,1,1,1,0,1,1,1,1,0,0,1,51,42,60,44,8,2,6,35,4,1,6,8,3,8,7,12,7,1,234,85,NA,34,22,1,13,28,169
E_bilineatus,0,1,1,0,1,1,0,2,2,1,1,1,0,1,1,0,1,0,0,1,69,47,60,46,8,2,7,37,4,1,5,9,2,8,8,11,6,0,237,86,NA,34,21,3,12,32,169
E_bilineatus,0,1,1,0,1,1,0,2,2,0,1,1,0,1,1,0,1,0,0,1,73,46,68,47,9,2,5,40,4,3,5,10,3,8,8,12,8,1,217,78,NA,36,23,0,13,30,171
E_bilineatus,0,1,1,0,1,1,0,2,2,0,1,1,0,1,1,0,1,0,0,1,71,49,68,42,7,2,6,40,4,1,6,9,3,8,8,8,16,1,234,76,NA,35,24,2,13,25,174
E_bilineatus,0,1,1,0,1,1,0,2,2,0,1,1,0,1,1,0,1,0,0,1,65,47,62,44,7,2,6,39,4,1,7,9,3,7,8,13,7,1,239,83,NA,35,21,2,13,23,166
E_bilineatus,0,1,1,0,1,1,0,2,2,0,1,1,0,1,0,1,1,0,0,1,54,40,56,39,7,2,6,31,4,1,6,7,3,7,6,11,6,1,211,77,NA,30,21,4,12,29,NA
E_bilineatus,1,1,1,0,1,1,0,2,2,1,1,1,0,1,1,1,1,0,0,1,56,40,60,39,8,2,7,32,4,1,6,11,4,6,7,12,6,1,223,85,NA,30,19,5,12,27,163
E_bilineatus,1,1,1,0,0,0,0,2,2,0,1,1,0,1,0,0,1,0,0,1,55,48,60,43,9,2,5,44,4,1,7,12,3,9,7,19,11,1,212,83,NA,32,20,2,12,27,158
E_bilineatus,0,1,1,0,1,1,0,2,2,0,1,1,0,1,0,1,1,0,0,1,53,51,57,38,7,2,7,34,4,1,6,7,3,7,6,16,7,1,160,64,NA,32,19,3,12,NA,NA
E_bilineatus,0,1,1,0,1,1,0,2,2,1,1,1,0,1,0,0,1,0,0,1,53,45,58,35,6,2,6,29,4,0,5,8,3,7,6,9,6,1,181,65,NA,33,22,3,12,26,NA
E_bilineatus,0,1,1,0,1,1,0,2,2,1,1,1,0,1,1,1,1,0,0,1,58,45,61,39,8,2,7,39,3,1,4,8,3,7,7,11,10,1,222,85,NA,32,22,2,13,25,169
E_boulengeri,1,1,1,1,1,1,1,4,1,1,1,0,1,1,0,1,1,0,0,1,93,65,44,39,10,5,9,50,5,2,7,12,3,11,6,24,10,1,174,106,F,32,21,0,12,31,NA
E_boulengeri,1,1,1,1,1,1,1,4,1,1,1,0,1,1,0,1,1,0,0,1,87,60,46,44,11,5,8,56,6,2,8,11,3,10,6,24,10,1,193,112,NA,31,23,0,11,40,126
E_boulengeri,0,1,1,1,1,1,1,3,1,1,1,0,1,1,1,0,1,0,0,1,93,59,47,47,9,4,9,44,4,2,7,11,2,10,7,20,10,1,NA,83,M,32,23,0,12,36,NA
E_boulengeri,1,1,1,1,1,1,1,3,1,1,1,0,1,0,NA,0,1,0,0,1,78,59,46,44,9,5,9,50,5,2,8,13,3,11,7,23,12,1,NA,64,NA,34,24,0,12,31,NA
E_boulengeri,1,1,1,1,1,1,1,3,1,1,1,0,1,1,0,1,1,0,0,1,90,62,43,47,11,4,9,49,5,2,8,7,2,9,7,21,10,1,NA,81,M,35,21,0,15,31,NA
E_boulengeri,1,1,1,1,2,1,0,3,1,0,1,0,1,1,0,1,1,0,0,1,75,67,48,35,9,4,8,52,6,1,8,10,4,10,7,19,14,1,153,85,NA,35,21,0,13,38,NA
E_boulengeri,1,1,1,1,1,1,0,3,1,0,1,0,1,0,NA,1,1,1,1,1,108,71,66,49,9,2,8,50,4,2,8,10,3,11,7,17,11,2,204,87,NA,30,23,0,12,51,NA
E_brasiliensis,1,1,1,1,1,1,1,4,1,1,1,0,1,1,1,NA,1,0,0,1,85,43,52,42,11,4,10,49,5,2,6,NA,NA,11,7,NA,NA,1,160,100,NA,30,23,0,15,35,NA
E_brasiliensis,1,1,1,1,1,1,1,3,1,1,1,0,1,1,1,0,1,0,0,1,93,63,57,43,10,3,7,51,6,1,7,10,3,11,6,20,11,1,152,92,NA,34,22,0,13,37,120
